"N_obs","times"
1,3
219,4
219,5
220,6
226,7
227,8
229,9
232,10
237,11
272,12
302,13
304,14
306,15
310,16
313,17
316,18
320,19
336,20
353,21
373,22
385,23
395,24
397,25
403,26
410,27
428,28
432,29
442,30
445,31
464,32
465,33
481,34
512,35
521,36
546,37
552,38
559,39
564,40
570,41
574,43
607,44
618,45
620,46
677,47
684,48
690,49
703,50
706,51
708,52
721,53
724,54
732,55
760,56
769,57
777,58
782,59
810,60
827,61
883,62
908,63
950,64
969,65
978,66
995,67
1017,68
1030,69
1043,70
1063,71
1085,72
1109,73
1147,74
1176,75
1223,76
1246,77
1287,78
1331,79
1363,80
1408,81
1431,82
1464,83
1489,84
1514,85
1561,86
1587,87
1637,88
1691,89
1722,90
1770,91
1817,92
1845,93
1873,94
1907,95
1933,96
1962,97
2014,98
2060,99
2089,100
2110,101
2138,102
2173,103
2204,104
2226,105
2257,106
2285,107
2326,108
2362,109
2410,110
2473,111
2530,112
2581,113
2615,114
2643,115
2678,116
2710,117
2760,118
2817,119
2841,120
2895,121
2956,122
3007,123
3092,124
3196,125
3272,126
3336,127
3396,128
3480,129
3547,130
3657,131
3753,132
3790,133
3893,134
3960,135
3988,136
4011,137
4033,138
4071,139
4092,140
4108,141
4135,142
4173,143
4209,144
4244,145
4273,146
4310,147
4364,148
4399,149
4475,150
4542,151
4615,152
4703,153
4794,154
4853,155
4892,156
4935,157
4992,158
5030,159
5102,160
5120,161
5157,162
5202,163
5233,164
5242,165
5285,166
5303,167
5330,168
5351,169
5388,170
5419,171
5483,172
5529,173
5550,174
5578,175
5624,176
5679,177
5706,178
5728,179
5746,180
5756,181
5769,182
5798,183
5816,184
5834,185
5849,186
5860,187
5876,188
5881,189
5893,190
5899,191
5907,192
5918,193
5924,194
5930,195
5941,196
5962,197
5987,198
6009,199
6034,200
6047,201
6072,202
6089,203
6112,204
6123,205
6137,206
6149,207
6192,208
6200,209
6234,210
6256,211
6269,212
6320,213
6342,214
6367,215
6398,216
6430,217
6467,218
6484,219
6513,220
6540,221
6560,222
6601,223
6654,224
6674,225
6693,226
6731,227
6767,228
6793,229
6816,230
6831,231
6856,232
6877,233
6904,234
6943,235
6969,236
6982,237
6991,238
7004,239
7022,240
7034,241
7048,242
7058,243
7075,244
7079,245
7094,246
7113,247
7131,248
7146,249
7161,250
7179,251
7189,252
7203,253
7217,254
7228,255
7239,256
7251,257
7262,258
7275,259
7282,260
7285,261
7287,262
7288,263
